segment_id,latitude,longitude,elevation_m,road_length_m,distance_to_water_body_m,road_age_years,pavement_thickness_cm,surface_crack_density_pct,pavement_condition_index,rut_depth_mm,surface_deformation_mm,avg_daily_traffic,heavy_vehicle_pct,traffic_load_index,avg_vehicle_speed_kmh,soil_moisture_pct,soil_density_g_cm3,soil_bearing_capacity_kpa,groundwater_depth_m,soil_porosity_pct,soil_settlement_mm,void_ratio,annual_rainfall_mm,max_daily_rainfall_mm,flood_frequency_per_year,temperature_variation_c,drainage_efficiency,waterlogging_duration_hr,underground_pipe_density,pipe_age_years,pipe_leakage_index,distance_to_pipeline_m,utility_excavation_count,sewer_condition_index,historical_collapse_count,distance_to_previous_collapse_m,nearby_construction_intensity,building_density_per_km2,land_subsidence_rate_mm_year,spatial_vulnerability_index,collapse_risk_level
URC_00011,12.8093,80.0703,38.6702,1472.1312,1998.962,8,32.0763,7.538,89.917,5.1892,0.0,36920,16.0624,0.3732,67.4395,50.6097,1.3821,287.7439,4.6177,39.5865,98.1803,1.0433,1156.2204,173.603,6,25.4902,0.2531,42.195,0.1078,1,0.0499,20.136,1,100.0,2,502.9979,0.704,15360,17.957,0.5261,Low
URC_00012,13.2365,80.1014,19.6333,1286.2414,1954.0503,56,16.9736,29.4171,55.3721,18.2363,36.3497,89589,9.7239,0.5765,40.0278,40.4952,2.2701,426.0042,14.1007,24.5485,47.8572,0.503,1405.0729,193.3474,4,35.8039,0.4503,29.4509,0.1835,75,0.8534,4.489,5,28.764,7,18.5546,0.0874,3674,16.8693,0.3586,High
URC_00013,13.1746,80.3453,9.819,1275.05,1336.7159,32,25.6058,13.1386,70.9546,16.0787,42.5599,2627,2.1387,0.0,76.8329,51.7638,1.9535,358.0483,8.9206,22.9303,80.8738,0.5128,1053.9653,118.3528,7,43.6372,0.4284,29.1111,0.4111,49,0.7222,7.8649,8,39.8347,1,1233.7052,0.5675,228,30.0638,0.3615,High
URC_00014,12.8956,80.1906,36.7356,444.634,1170.5333,11,42.4217,13.1221,86.9865,12.95,32.8943,42921,16.2333,0.4077,49.114,44.4104,2.011,420.9438,16.6421,37.0421,66.83,0.7722,968.8804,77.4049,6,36.7641,0.3328,38.702,0.5386,52,0.7065,17.0151,9,54.5707,1,169.0351,0.0845,5258,19.916,0.3066,Moderate
URC_00015,12.8818,80.3102,23.9771,659.5377,820.821,23,25.7542,20.2131,78.3224,15.39,38.2292,47098,8.1049,0.3132,63.062,6.2162,1.1426,500.0,22.665,51.869,0.0,1.1683,1486.4624,151.6315,9,24.693,0.7805,25.9479,0.8297,26,0.5057,0.6479,8,83.4262,5,57.7345,0.3863,3189,5.5824,0.3423,Moderate
URC_00016,12.8825,80.3046,32.2214,721.6274,769.4706,6,28.6002,0.0,100.0,0.0,1.4365,40250,11.4217,0.3677,66.9776,20.1806,1.762,413.0361,21.3317,34.868,31.847,0.7862,1433.0034,144.5235,9,7.4078,0.353,43.3737,0.8688,68,1.0,8.8654,7,21.86,4,432.1203,0.3067,8047,24.5034,0.4269,Moderate
URC_00017,12.9369,80.2035,46.8506,1625.972,284.4046,10,41.2516,23.1175,71.0728,27.1648,51.5207,88946,4.4259,0.4996,35.8849,19.393,2.0414,474.1417,17.0265,29.73,33.7648,0.5983,1245.0524,199.3779,4,2.1869,0.46,30.5381,0.5141,3,0.1344,28.6651,6,95.5409,1,141.5731,0.3353,3929,4.5813,0.2829,Low
URC_00018,13.0361,80.262,16.333,1561.4655,757.2667,55,56.354,38.1456,47.8955,36.6469,77.5333,99341,29.3576,0.8754,49.9994,38.2656,1.1241,273.0385,11.2438,43.4707,65.1752,1.0445,1066.1001,119.2883,7,31.2636,0.3328,42.0296,0.7026,65,0.7443,72.3766,1,30.4717,3,6.8609,0.2308,14067,16.7515,0.4411,Critical
URC_00019,12.9944,80.1078,23.2794,542.7119,1316.7619,4,13.9196,10.6985,100.0,9.4699,19.3013,69802,0.2426,0.3561,49.9515,40.9705,1.533,266.4718,19.7681,42.9941,62.8295,0.8522,1014.1818,139.3614,10,10.3134,0.285,46.9266,0.0803,48,0.4115,19.1006,3,51.4278,3,681.2945,0.4197,17134,11.3972,0.4679,Moderate
URC_00020,12.9311,80.2565,43.8356,157.5469,363.178,3,28.6028,0.0,100.0,6.0987,1.8886,50514,16.5075,0.5747,65.0424,48.8131,1.819,333.8076,5.8486,31.1252,61.5444,0.6546,2102.4628,230.7633,5,15.1189,0.6985,17.5891,0.3296,77,0.6904,12.95,7,36.4883,1,892.8203,0.2631,14028,21.9836,0.4166,Low
URC_00021,13.0753,80.1317,33.0248,1547.1784,1659.2752,12,40.8306,10.2166,90.0763,9.4911,24.5425,74723,26.521,0.6992,49.0457,54.5782,1.7483,274.316,13.1843,38.1123,84.5218,0.5677,1043.2436,56.3679,2,21.9816,0.7667,10.974,0.3591,43,0.4397,10.8796,9,57.1159,7,104.8492,0.2833,12397,20.4469,0.4968,Moderate
URC_00022,12.8628,80.2996,16.6026,849.239,937.6419,1,37.97,13.1716,87.6452,1.4238,14.3064,33754,17.7262,0.4544,63.8335,49.1342,1.9246,330.4989,10.757,31.0911,65.1508,0.5207,1648.196,156.6178,5,23.4508,0.9025,20.0688,0.5854,16,0.4165,36.442,3,78.1157,5,797.278,0.3358,8340,18.2825,0.4123,Low
URC_00023,12.9315,80.0751,13.5398,478.6162,1128.7491,14,23.7152,21.5676,72.6231,12.5456,42.4909,70605,15.4068,0.5925,47.0771,50.9812,2.1158,328.5458,13.1344,24.2102,57.4661,0.6115,812.8959,83.0339,3,43.0923,0.5621,26.5249,0.4755,20,0.2858,3.3498,9,86.8983,4,192.2993,0.13,15835,10.1223,0.4191,Low
URC_00024,12.9649,80.2819,18.663,278.1829,1651.3196,28,33.9844,16.8878,76.125,22.6254,42.3716,2418,13.6401,0.1919,75.262,12.4541,2.2784,484.0651,23.5555,29.324,0.0,0.589,1489.9397,159.7551,7,12.55,0.5175,34.5245,0.313,60,0.7476,7.6944,6,36.2352,1,2169.7408,0.5035,2486,6.1814,0.2477,Low
URC_00025,13.0052,80.08,16.139,74.9886,794.3368,11,25.2188,5.5681,94.3834,1.0546,6.7312,40544,32.1971,0.5135,71.5942,37.7708,1.9696,331.8356,13.0497,34.8458,69.4856,0.8817,647.7353,56.0422,4,28.8677,0.3575,29.6863,0.5559,75,0.9335,36.1907,6,36.0729,4,70.4146,0.5635,14911,25.5691,0.562,Moderate
URC_00026,13.1533,80.3144,27.8482,884.0728,1308.0225,30,23.634,30.1115,58.2883,8.8232,30.842,94411,10.1384,0.6329,32.6422,18.4592,1.6754,449.4851,17.7009,33.2432,19.2878,0.726,996.8151,127.5265,4,12.753,0.936,11.0682,0.0705,17,0.2677,100.0,5,71.6149,4,132.5215,0.5672,2224,1.1601,0.3363,Low
URC_00027,12.8899,80.1413,25.9412,712.5394,1482.8316,40,17.5483,33.2773,51.7194,24.4996,60.7624,38829,2.3968,0.2448,57.8168,48.5533,2.1318,324.5007,6.71,30.6941,64.4766,0.6359,1382.4463,127.7759,8,22.9033,0.5684,36.2684,0.6301,20,0.3548,0.7386,5,88.5458,1,558.4284,0.3966,11729,20.6352,0.4249,High
URC_00028,13.0314,80.2463,28.3509,1408.1168,1531.3465,45,18.9983,18.872,54.1138,16.2925,41.3669,3330,6.5472,0.1311,72.0069,41.5971,2.2757,393.7176,13.4608,24.9259,41.8827,0.8457,1549.5392,214.5013,6,16.4578,0.7621,26.3317,0.1642,4,0.1912,8.5407,4,73.8215,4,506.1113,0.4176,19192,9.1331,0.4968,Moderate
URC_00029,13.0666,80.1963,14.9102,1954.4976,1521.1347,2,32.9465,2.1866,89.9035,0.0,0.0,84231,35.1985,0.8607,29.2749,44.2567,2.3308,374.1408,4.1792,21.9306,77.4107,0.572,1540.089,146.8153,5,42.7262,0.6373,23.7649,0.3331,34,0.4207,17.1083,5,53.4301,2,937.066,0.6434,9009,15.8247,0.4289,Low
URC_00030,12.8209,80.1599,24.15,453.2261,506.9896,60,33.275,25.1054,44.0888,24.1395,41.1591,19816,33.4889,0.4104,68.3579,44.7,1.6149,331.8893,8.5341,33.9233,91.9645,0.8412,2019.4023,282.4592,10,32.3508,0.2066,51.5724,0.4113,5,0.1097,1.9666,5,100.0,4,152.7257,0.3692,18668,11.7318,0.5029,High
URC_00031,13.0734,80.2436,1.0,523.9205,640.2336,6,19.7193,18.854,85.731,5.1924,21.1459,29352,19.1665,0.3339,68.3539,41.9703,2.16,397.0753,10.5799,22.9238,59.5079,0.3167,1010.9021,130.2255,2,31.6953,0.7806,13.1073,0.9418,48,0.7026,1.0225,8,52.0551,2,792.3622,0.1156,8305,24.8082,0.3566,Low
URC_00032,12.8767,80.3343,26.7401,707.74,1643.5716,24,25.9907,17.9249,75.624,6.4231,18.002,36281,9.9554,0.3384,56.8369,34.2358,1.8133,357.1368,3.1889,31.8926,52.6985,0.647,1782.714,186.0527,11,9.534,0.2396,57.9379,0.7132,23,0.4872,8.5216,11,65.8325,5,4.1894,0.23,1422,15.2314,0.3335,High
URC_00033,12.8293,80.0624,39.1053,958.5784,647.2916,14,33.0173,13.1419,84.1987,8.5558,8.6667,2787,2.957,0.1287,88.3769,17.1968,2.001,468.1235,15.8065,24.6507,13.8041,0.5361,1897.5388,157.0984,6,24.9195,0.8282,9.3997,0.1244,53,0.6427,8.3179,1,41.3982,3,202.932,0.5184,14009,12.4364,0.4749,Low
URC_00034,13.227,80.3257,7.903,1410.5125,1188.0734,36,38.3082,30.3613,58.589,5.47,44.5325,73899,15.6576,0.6059,48.3404,10.0921,1.6169,414.8347,19.2618,36.6936,0.0,0.5876,1367.9285,92.0521,7,5.2861,0.6159,35.2357,0.3298,10,0.2712,3.278,7,83.5966,6,432.8588,0.1525,12626,1.6169,0.3752,Moderate
URC_00035,13.2345,80.2327,30.8011,736.4615,1379.8659,2,49.5278,0.0,83.0224,5.0424,0.0,45561,24.2682,0.4853,59.147,8.1935,1.5791,492.3375,16.9571,34.3282,26.5167,0.5912,2082.8997,230.1708,4,17.6261,0.7733,16.0916,0.5437,28,0.4591,30.648,4,64.3758,5,245.5738,0.3908,13549,10.4983,0.4608,Low
URC_00036,13.1638,80.2922,17.6678,253.1911,398.311,3,42.0784,17.3282,100.0,10.0074,30.9934,8406,35.6748,0.422,100.0,31.4858,1.657,455.9953,22.4853,27.8597,42.5456,0.7031,715.8504,105.9044,2,2.6891,0.8898,7.1435,0.651,0,0.2953,22.1378,8,96.3458,3,117.823,0.8028,12914,24.6747,0.5724,Low
URC_00037,12.9371,80.1652,34.63,1474.1662,542.1339,26,46.5363,32.1271,52.2233,14.4532,37.7949,62905,39.6093,0.8489,64.6819,15.8494,1.8264,441.9699,19.0071,37.216,42.8901,0.6126,2119.847,257.6066,9,31.7798,0.3982,48.2278,0.7291,36,0.6081,20.5218,13,62.6509,2,1225.6709,0.2948,14576,21.5978,0.4293,Critical
URC_00038,12.844,80.1916,26.9038,1599.5513,1507.8442,29,46.0149,14.5698,68.2514,14.9883,33.1409,3654,4.9531,0.0437,84.3115,37.1603,1.2992,367.576,12.8158,51.8184,61.1194,1.1155,1303.7856,200.9203,5,9.3085,0.679,26.4346,0.3778,18,0.2755,0.5524,5,81.7538,6,17.2275,0.3404,7404,16.379,0.4321,Moderate
URC_00039,13.1079,80.3107,29.8564,532.9149,1740.4842,23,17.965,12.869,71.6623,14.5649,27.5238,41020,27.0497,0.5352,65.0662,40.1168,1.8294,334.1689,13.6918,42.4603,56.1673,0.9463,1902.0476,238.1646,6,40.633,0.7451,25.8696,0.4657,60,0.6069,30.3438,9,50.0569,4,74.8449,0.799,2163,17.8976,0.4508,High
URC_00040,12.9981,80.1745,25.7779,316.6747,1515.9837,52,39.4231,44.1085,56.1771,37.5652,67.945,96006,1.3511,0.578,35.2968,15.1506,1.7206,488.9226,18.8079,35.1818,31.471,0.7022,1150.2851,118.5471,4,29.5643,0.626,22.552,0.4909,38,0.4431,34.3646,13,63.9752,2,461.7148,0.0946,2166,8.483,0.2357,Moderate
URC_00041,12.8549,80.2104,40.94,1079.2121,284.1653,50,18.1274,18.6745,44.4635,21.5218,47.0925,56158,3.874,0.307,50.8913,30.3592,2.0018,448.4221,17.3471,36.474,36.4616,0.6873,1283.0312,115.0285,5,25.2693,0.566,35.9901,0.2931,80,0.8572,14.1323,3,23.3668,3,64.2903,0.1717,955,21.3821,0.315,High
URC_00042,13.0228,80.0561,29.1689,456.2129,384.4344,7,39.5695,1.9535,100.0,8.6133,2.9136,28622,23.5067,0.3668,51.203,13.2809,1.4115,420.3843,18.3622,38.2522,11.6974,0.6029,1299.5069,135.8411,5,21.107,0.7248,14.651,0.6293,33,0.6906,23.5577,5,65.3885,8,14.3949,0.7817,5906,6.0008,0.489,Low
URC_00043,12.8155,80.0976,16.5349,779.6187,936.5336,60,30.814,56.6167,29.6129,34.1275,82.5606,83830,33.0994,0.8517,52.9501,52.6014,2.3134,231.3649,2.7093,28.7057,79.3688,0.5893,1062.9988,113.9699,5,4.2425,0.5831,35.1579,0.3367,62,0.7332,14.5344,10,19.1018,4,179.2099,0.3434,19355,21.5506,0.5431,Critical
URC_00044,13.2092,80.2425,26.1846,1565.8544,358.7444,4,40.1399,16.0758,73.6409,0.6089,16.1998,1350,19.1066,0.1369,86.4967,22.6617,1.3019,414.5396,20.8358,35.6114,27.8608,0.8657,1356.1836,156.9722,5,27.2865,0.8551,11.7895,0.6523,26,0.4834,15.3707,3,76.3827,2,844.4754,0.6019,16535,7.8253,0.4667,Low
URC_00045,12.9165,80.2651,20.5734,478.2337,649.801,15,31.6714,21.8045,69.223,12.0517,36.132,75597,24.1838,0.6747,43.0469,48.9453,1.422,170.0566,5.787,43.2048,87.7539,0.8563,1724.6075,214.6205,8,7.9621,0.7517,31.3905,0.6267,33,0.4658,16.0451,3,64.8391,2,281.3824,0.0618,8878,19.9296,0.3474,High
URC_00046,13.0981,80.2248,26.9488,1622.2056,3683.5622,23,40.5351,30.4283,63.7772,15.8745,40.5702,30485,7.0682,0.2911,59.572,56.0754,1.2291,259.0014,7.0767,47.0019,122.74,0.9082,1373.7859,133.6217,5,14.9251,0.6999,28.9233,0.3574,62,0.8693,19.8691,5,22.3723,11,89.3563,0.2853,4795,34.3408,0.5272,Critical
URC_00047,12.9403,80.093,19.9628,1364.339,2267.6066,44,33.5441,33.861,56.4246,25.0186,73.2944,73676,28.5611,0.652,52.6526,36.2508,1.164,340.6014,12.185,46.812,62.2128,0.8469,1081.4277,111.1655,3,22.3908,0.8647,0.5459,0.1235,70,0.7528,5.109,5,45.6251,7,154.4096,0.5942,5191,20.3541,0.485,Critical
URC_00048,13.034,80.1836,16.8783,478.4654,591.824,40,41.1022,37.4086,50.7309,27.1961,85.6625,43309,18.5191,0.4404,61.431,10.7022,2.0402,500.0,21.0896,36.279,21.8899,0.6768,1293.2834,242.8852,4,14.3169,0.5489,25.9121,0.1212,57,0.558,1.2475,5,50.5863,5,69.4717,0.2627,17640,11.9875,0.4873,High
URC_00049,13.046,80.1565,27.3913,1076.489,315.3382,22,20.0303,10.3356,90.4781,18.1011,25.273,3649,4.8615,0.027,96.6343,10.1181,1.906,500.0,16.7597,32.2953,5.2466,0.6998,1888.4791,247.7249,10,13.2148,0.1592,49.0242,0.3099,47,0.5735,32.1656,6,49.5196,8,125.0426,0.1731,13733,3.5607,0.4324,Low
URC_00050,12.8832,80.1987,25.6695,1247.438,1371.7996,40,25.5827,29.2982,69.4795,18.7322,40.735,87528,21.6011,0.7651,33.685,24.1691,2.0996,476.9939,17.549,25.03,35.1999,0.4486,1384.7796,168.7517,3,34.9052,0.9145,0.9507,0.6307,30,0.5283,8.6459,8,70.981,2,288.2765,0.2875,19476,15.0694,0.4789,Moderate
URC_00051,13.2363,80.3111,37.7675,440.5383,752.0879,7,20.8069,1.3312,92.5409,11.5379,18.6555,26187,15.4574,0.2476,69.8896,59.2597,2.145,226.419,8.4467,29.7212,87.8259,0.7748,1461.8398,139.9938,3,10.9646,0.6452,21.2265,0.5419,32,0.442,49.4648,7,47.3215,7,68.7519,0.3134,11359,18.7679,0.4868,Moderate
URC_00052,13.1488,80.2828,20.0205,332.6512,1640.2754,50,27.5381,30.2535,43.1262,24.6552,33.3874,5941,36.5635,0.5103,98.2273,17.9181,2.0661,500.0,20.5439,24.1178,33.2408,0.5956,1676.4702,247.431,5,9.155,0.4267,39.8884,0.6718,2,0.2159,18.9924,5,94.5113,0,75.9302,0.3356,5942,8.388,0.3078,Low
URC_00053,13.2228,80.0752,1.2298,1085.7775,1040.0809,18,32.1983,22.3562,84.0398,11.5896,24.4298,60654,26.3114,0.646,60.5741,52.9422,1.5519,291.061,5.9425,40.6184,56.7873,0.9423,978.8576,62.8461,5,34.5498,0.53,31.1562,0.6791,38,0.6361,42.0251,7,60.3113,2,73.5532,0.1781,9847,20.2231,0.3878,Moderate
URC_00054,13.2027,80.3171,20.6336,1402.9903,3952.0119,38,32.0227,27.2784,41.6134,19.5182,49.4466,15548,6.3313,0.1893,70.2155,16.5804,1.343,397.1281,18.4488,37.6755,44.2618,0.7336,1422.6242,170.5904,4,3.3511,0.8144,16.7146,0.3316,71,1.0,22.4413,4,23.4602,4,54.8806,0.4469,9460,14.7977,0.4415,Moderate
URC_00055,13.0691,80.1915,5.4828,956.8842,1265.7011,25,12.439,11.4906,86.7972,9.6555,36.3414,46477,15.025,0.4777,58.6011,25.0563,1.7479,360.2955,22.2861,29.6138,32.5974,0.6855,933.4626,127.2063,4,42.277,0.7016,28.1805,0.1401,2,0.0,13.5818,5,96.9354,2,64.9066,0.1511,18398,7.5221,0.4173,Low
URC_00056,13.2148,80.2732,29.9881,186.5765,1408.5926,48,33.9541,37.4747,45.0506,32.712,52.6012,61316,8.0105,0.4336,54.5726,27.1842,1.7357,370.362,13.3498,34.6324,48.5126,0.5119,1042.9933,144.4712,8,43.4846,0.4754,38.5665,0.6111,47,0.7878,78.8462,8,46.0367,9,54.7915,0.4441,19496,18.5581,0.6189,Critical
URC_00057,12.8398,80.092,4.9132,1854.1648,2777.413,15,43.82,26.2289,93.7254,3.4617,38.2306,9614,37.2863,0.4932,80.7202,16.3347,1.9272,424.7552,30.0,24.3926,31.3724,0.6302,2030.8649,263.4757,11,21.6015,0.3755,50.5557,0.2994,5,0.0746,33.8425,6,98.2447,1,722.4093,0.6296,19946,6.2609,0.4913,Low
URC_00058,12.8882,80.2512,13.1395,1405.1826,293.426,58,36.249,30.1563,46.1731,30.2014,56.2865,44614,15.8941,0.4565,49.4122,27.2792,1.5338,380.4767,12.6477,37.2198,40.9239,0.786,1117.8152,118.7549,10,3.4213,0.2262,46.4101,0.2407,26,0.2557,50.8067,7,63.0326,4,10.009,0.3564,15871,3.0273,0.4418,High
URC_00059,12.8204,80.1209,20.652,1261.3328,2091.5316,6,18.9296,17.3045,85.1096,0.0144,17.5439,9947,28.0638,0.393,91.8382,28.6489,1.2519,316.6883,12.2835,45.6985,73.2926,1.0683,281.8637,65.188,2,3.0017,0.8278,7.5491,0.578,35,0.5902,0.1143,8,56.7984,5,36.3714,0.0825,16295,22.5687,0.4811,Low
URC_00060,12.9464,80.1815,43.5274,1305.0727,2150.4297,45,37.4426,47.2107,41.1996,31.1849,65.4396,11841,9.9415,0.1654,85.8291,55.2061,1.6411,289.3992,7.1308,40.0483,86.1459,0.9172,1386.8583,177.637,8,23.1432,0.2953,37.0734,0.7719,63,1.0,9.2372,9,22.9755,3,273.2169,0.446,5743,21.5288,0.4121,Critical
URC_00061,12.9749,80.0551,12.1253,827.2809,1220.8724,59,38.1452,37.4526,40.2273,28.1748,68.0723,84094,9.42,0.5387,23.5401,7.7017,1.3005,500.0,24.9853,43.4802,0.0,0.7715,1770.7904,236.2383,8,14.0327,0.5267,33.0884,0.7724,63,0.9133,16.763,4,28.0513,1,142.3317,0.4151,11518,12.3011,0.4056,Critical
URC_00062,12.9221,80.0955,25.1489,1969.581,1163.9542,41,23.2981,14.5759,70.3408,23.9958,36.451,72642,30.4572,0.7357,44.7626,5.6934,1.9086,472.0629,26.698,29.9396,27.1154,0.7609,1617.3494,187.6423,11,44.8989,0.192,54.643,0.5265,46,0.5923,61.6579,8,39.4482,5,76.4516,0.3724,16654,14.0999,0.5076,High
URC_00063,13.1729,80.0776,31.9597,308.7245,809.8487,12,36.6389,6.1506,78.8202,5.706,10.4463,22059,8.683,0.2144,77.6354,30.6861,1.2566,428.3815,17.9194,47.2914,19.0628,1.0727,2039.7227,216.4603,10,14.515,0.2164,58.0675,0.2104,8,0.1789,29.1965,3,100.0,3,353.9443,0.0191,4422,8.1536,0.2575,Low
URC_00064,12.9605,80.1219,42.8087,1491.3257,350.2886,16,40.1262,13.604,89.0201,4.2323,9.7974,89920,6.459,0.5232,34.1524,59.9027,2.2767,291.2881,6.9961,26.6638,96.159,0.7021,1424.0419,192.5167,9,5.4128,0.2476,54.8046,0.5962,31,0.5081,3.1245,9,71.4692,3,38.6494,0.7695,19923,21.8451,0.6268,High
URC_00065,12.9264,80.08,34.3335,870.7081,842.2016,26,29.237,18.1402,66.7298,16.6523,21.8622,45537,28.9394,0.6025,69.6013,54.4426,2.256,313.9236,9.6948,30.5498,103.7894,0.3909,969.9169,148.229,3,35.5085,0.6125,23.4814,0.5455,49,0.6961,12.3375,3,48.6824,2,706.0663,0.2472,3086,27.3075,0.3433,Low
URC_00066,13.0442,80.2576,38.1269,1768.1373,538.3827,39,25.6774,24.985,64.2612,20.2119,31.4674,71129,28.4575,0.7252,44.7315,28.5992,1.2478,415.1376,19.2039,45.5397,28.1116,1.0744,1562.829,148.7155,7,9.0039,0.424,31.3265,0.4312,49,0.7522,8.3277,3,62.1201,4,19.6157,0.2569,13217,10.6476,0.4256,Critical
URC_00067,12.8634,80.0587,35.3717,1448.6595,636.7569,8,43.4036,12.1105,100.0,3.0344,8.5836,94149,22.4566,0.7647,26.5036,37.947,2.2557,325.3747,13.0791,22.977,70.1782,0.5722,200.0,70.2571,5,14.5023,0.3444,37.4322,0.5032,54,0.8246,3.1523,8,51.367,2,13.9665,0.5377,19921,20.6375,0.5639,High
URC_00068,13.161,80.2353,10.4905,1146.3918,1267.2543,27,42.0237,42.2898,66.098,11.3196,40.7471,14234,29.0214,0.4029,90.8595,43.1186,1.3557,328.8165,11.9505,41.4893,74.3666,0.8353,1619.2389,133.9944,7,17.0924,0.5166,32.4979,0.1357,51,0.4839,17.0822,6,53.4045,4,171.6899,0.17,11733,15.5029,0.4082,Critical
URC_00069,12.8335,80.0922,29.3163,1878.5026,730.073,27,13.41,21.4405,63.7819,22.8342,49.7713,64135,35.1925,0.7452,45.58,53.3664,1.6104,286.0708,13.4991,33.4222,72.1408,0.7884,1424.1276,207.7085,9,20.4943,0.7148,34.8321,0.8288,32,0.5967,2.3772,11,62.4239,3,172.8006,0.5377,14965,21.8601,0.5269,Critical
URC_00070,13.2441,80.3335,35.1839,1829.2646,1536.9864,51,28.7009,44.1911,55.5947,26.3154,70.1895,26459,17.9317,0.4085,67.1975,13.6864,2.3376,478.7425,28.9164,24.2614,30.8349,0.4517,676.4405,80.3566,3,24.3725,0.592,23.0637,0.5353,32,0.5495,20.2095,5,80.7796,3,91.6174,0.6003,2499,9.6016,0.3682,Moderate
